.surf,2699,26.99
.surgery,4289,42.89
.sydney,6029,60.29
.systems,2529,25.29
.tattoo,3629,36.29
.tax,5529,55.29
.taxi,5049,50.49
.team,2789,27.89
.tech,4829,48.29
.technology,2409,24.09
.tennis,5189,51.89
.theater,4949,49.49
.theatre,60029,600.29
.tickets,42029,420.29
.tienda,4949,49.49
.tips,2529,25.29
.tires,8429,84.29
.today,2169,21.69
.tools,2789,27.89
.tours,4929,49.29
.town,2789,27.89
.toys,4929,49.29
.trade,619,6.19
.trading,1589,15.89
.training,3009,30.09
.travel,11409,114.09
.travel.in,549,5.49
.tv,2699,26.99
.tv.in,549,5.49
.uk.com,2669,26.69
.uk.in,549,5.49
.uk.net,2669,26.69
.university,4849,48.49
.uno,1829,18.29
.up.in,549,5.49
.us,809,8.09
.us.com,1829,18.29
.us.in,549,5.49
.us.org,1829,18.29
.vacations,3029,30.29
.vana,239900,2399
.vegas,4619,46.19
.ventures,4399,43.99
.vet,3269,32.69
.vg,3029,30.29
.viajes,4229,42.29
.video,3029,30.29
.villas,4289,42.89
.vin,4929,49.29
.vip,1499,14.99
.vision,3029,30.29
.vodka,2699,26.99
.vote,7209,72.09
.voyage,4589,45.89
.vu,6029,60.29
.watch,3369,33.69
.webcam,1219,12.19
.website,2429,24.29
.wedding,2699,26.99
.wiki,2209,22.09
.win,619,6.19
.wine,4399,43.99
.work,899,8.99
.works,3009,30.09
.world,3009,30.09
.ws,2429,24.29
.wtf,2789,27.89
.xxx,9029,90.29
.yachts,1229,12.29
.yoga,6029,60.29
.za.com,17909,179.09
.zone,3009,30.09
